Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Last Inventory Year (2015),Change from base year to latest reported year
Malta,"2,382.04","2,382.04","2,386.49","2,547.43","2,918.62","2,802.34","2,566.78","2,655.99","2,665.73","2,689.30","2,806.14","2,661.11","2,849.26","2,875.17","3,157.82","3,051.95","3,018.81","3,067.21","3,161.11","3,101.62","2,982.12","3,019.21","3,115.01","3,233.55","2,901.92","2,930.27","2,226.87",-6.51%
Monaco,99.31,99.31,100.27,105.80,104.95,105.97,103.53,107.74,105.84,105.15,106.88,107.84,105.85,106.00,103.63,99.35,98.16,91.17,94.66,92.52,87.82,86.73,83.14,87.06,87.46,79.81,81.71,-17.72%
Netherlands,"220,750.73","220,750.73","228,609.65","229,282.72","230,619.76","234,299.78","231,044.97","242,144.64","234,480.13","234,497.42","221,197.40","219,378.41","219,648.22","217,558.53","217,769.03","218,919.96","214,100.21","209,132.56","208,238.81","207,660.97","202,089.97","213,921.63","200,030.03","195,215.55","195,406.58","187,372.78","195,038.63",-11.65%
New Zealand,"64,573.82","64,573.82","65,558.53","66,869.50","66,444.14","67,522.89","68,447.75","70,592.31","73,322.21","71,020.33","73,049.33","75,142.80","77,955.23","78,519.60","80,929.90","80,530.14","82,493.69","82,550.94","80,168.82","80,204.79","77,710.07","78,077.20","77,951.12","79,929.55","79,397.17","80,267.87","80,155.14",24.13%
Norway,"51,728.79","51,728.79","49,358.66","47,548.46","49,588.60","51,483.96","51,177.87","54,191.80","54,113.98","54,278.42","55,225.67","54,639.17","55,911.95","54,833.70","55,413.72","56,016.99","55,106.17","54,884.02","56,761.40","55,252.97","52,654.69","55,233.41","54,204.21","53,810.49","53,527.82","53,331.41","53,908.19",4.21%
Poland,"570,370.88","467,881.09","456,073.16","443,082.97","443,017.48","437,507.17","438,941.37","452,573.12","443,759.77","412,612.70","401,487.58","390,597.49","389,605.24","379,668.68","393,474.53","398,365.54","398,942.56","413,288.50","413,760.27","406,351.60","388,565.35","406,973.16","406,419.78","399,071.85","395,532.34","382,969.30","385,842.89",-32.35%
Portugal,"59,403.14","59,403.14","61,189.97","65,551.90","64,263.12","65,303.68","69,835.74","67,459.04","70,715.44","75,508.17","83,416.50","82,290.85","81,923.59","86,108.56","80,986.33","84,200.21","86,134.48","81,403.21","79,133.33","76,503.36","73,346.54","69,291.72","68,144.74","66,238.24","64,325.35","64,195.61","68,740.82",15.72%
Romania,"301,359.00","246,271.86","203,183.45","187,102.76","177,799.21","174,505.21","181,112.91","183,883.61","171,745.73","152,203.29","134,361.24","140,163.06","147,244.17","145,935.95","150,525.60","149,161.45","146,454.48","147,841.16","150,878.01","145,828.88","126,571.89","120,899.59","126,992.67","124,418.24","115,389.18","115,413.20","116,426.73",-61.37%
Russian Federation,"3,767,791.97","3,767,791.97","3,535,779.60","3,002,874.25","2,809,224.02","2,511,370.02","2,428,861.70","2,353,902.79","2,260,167.44","2,228,575.59","2,260,082.88","2,273,165.94","2,332,624.58","2,341,045.33","2,420,517.80","2,469,547.52","2,499,754.93","2,572,721.72","2,582,666.44","2,614,763.80","2,480,144.59","2,601,179.78","2,663,993.78","2,699,651.88","2,640,843.69","2,645,819.28","2,651,212.00",-29.63%
Slovakia,"74,460.34","74,460.34","64,782.75","59,339.06","55,823.78","53,182.16","54,411.60","54,793.75","54,573.82","53,101.20","51,811.57","49,863.07","52,278.00","50,294.85","50,731.42","51,392.40","51,395.62","51,271.33","49,473.09","50,179.67","45,651.68","46,559.69","45,455.58","43,251.41","42,885.65","40,677.79","41,269.49",-44.58%
Slovenia,"20,372.27","18,594.28","17,292.34","17,389.65","17,587.87","17,983.07","18,720.54","19,392.49","19,743.85","19,478.68","18,853.11","19,092.52","19,985.52","20,137.21","19,852.42","20,180.83","20,497.65","20,672.39","20,804.80","21,497.88","19,573.10","19,603.02","19,611.04","19,040.28","18,340.85","16,610.33","16,831.16",-17.38%
Spain,"287,828.14","287,828.14","295,973.90","305,569.58","295,523.69","311,978.31","327,884.51","319,130.63","333,235.52","343,236.30","370,316.44","385,587.69","383,138.94","401,549.59","408,855.56","424,964.21","439,556.14","430,813.91","439,906.35","407,693.68","370,330.16","356,761.43","356,950.74","351,817.37","322,873.54","324,214.82","335,661.52",16.62%
Sweden,"71,636.61","71,636.61","71,745.37","71,246.30","71,532.15","73,961.72","73,776.68","77,275.82","72,496.73","72,850.12","69,960.40","68,697.67","68,998.56","69,946.42","70,403.99","69,385.01","66,855.49","66,772.63","65,126.81","62,861.59","58,644.16","64,554.80","60,554.99","57,162.72","55,537.40","53,836.24","53,690.36",-25.05%
Switzerland,"53,356.64","53,356.64","55,295.62","55,010.50","52,366.17","51,371.49","52,250.54","52,988.24","51,740.53","53,356.97","53,103.85","52,365.29","53,958.63","52,372.95","53,589.41","54,241.24","54,856.35","54,485.89","52,556.39","54,086.85","52,776.04","54,370.03","50,289.29","51,627.64","52,523.47","48,620.19","48,038.14",-9.97%
Turkey,"213,971.94","213,971.94","221,058.70","227,414.72","236,732.94","230,267.10","246,553.35","264,214.55","275,619.63","277,614.69","276,404.35","296,473.41","277,675.16","284,572.69","304,056.72","315,146.57","337,152.78","361,711.42","394,979.94","391,846.03","400,928.76","406,805.31","436,353.24","448,933.47","442,170.55","455,614.99","475,056.40",122.02%
Ukraine,"962,501.52","962,501.52","875,499.51","816,810.98","725,651.59","617,415.00","572,088.66","524,370.13","507,295.18","482,117.12","449,911.71","427,645.78","450,503.92","436,975.09","444,811.67","445,778.68","450,229.17","468,042.15","470,538.46","458,294.31","397,333.38","413,532.30","434,304.95","424,214.55","415,093.70","368,505.88","323,364.93",-66.40%
United Kingdom of Great Britain and Northern Ireland,"796,815.80","796,815.80","806,395.30","786,220.93","766,536.08","756,167.59","749,054.14","771,127.77","746,297.22","743,844.79","712,587.57","713,091.94","716,486.30","696,578.86","703,754.61","700,680.85","692,942.28","687,990.04","676,535.37","656,859.68","599,760.21","615,675.37","567,503.92","584,243.08","568,763.78","526,370.27","506,765.38",-36.40%
United States of America,"6,363,063.58","6,363,063.58","6,308,253.44","6,420,020.34","6,530,547.10","6,621,606.82","6,708,985.92","6,903,096.05","6,962,014.56","7,017,495.18","7,056,761.73","7,213,873.46","7,095,168.08","7,131,013.32","7,171,511.41","7,304,634.77","7,313,278.09","7,246,474.35","7,349,066.45","7,145,312.38","6,700,102.77","6,925,468.45","6,776,744.60","6,538,276.08","6,680,051.99","6,739,686.39","6,586,654.89",3.51%
